repo,pr,title,verdict,reason
"rohitg00/awesome-claude-code-toolkit",298,"Add claude-memory-kit skill",KEEP,"Legitimate addition of a new skill."
"fcakyon/claude-codex-settings",16,"docs: update CLAUDE.md with additional guidance",KEEP,"Valid title for updating agent instructions, no obvious drop signals."
"study8677/antigravity-workspace-template",51,"fix: add missing frontmatter to engine skill definitions",DROP,"Adding frontmatter is a metadata-only change."
"gooseworks-ai/goose-skills",25,"Removed things which were causing WAF in the apis",KEEP,"Title describes a specific fix, not obvious slop."
"gooseworks-ai/goose-skills",23,"Changed crustdata skill to apify for linkedIn scrape",KEEP,"Specific, meaningful change to skill instructions, not slop."
"ReScienceLab/opc-skills",76,"fix(requesthunt): address security audit failures on skills.sh",KEEP,"Legitimate fix addressing security audit failures."
"posit-dev/skills",31,"docs(repo): add CLAUDE.md development guidance",KEEP,"Standard PR adding development guidance to CLAUDE.md, not slop."
"jabrena/cursor-rules-java",418,"Feature/skills v2",KEEP,"Title indicates a feature branch updating skills, not obvious slop."
"vladikk/modularity",2,"Unlock model-driven question discovery in review and design skills",KEEP,"Title describes a meaningful feature update to the skills."
"jabrena/cursor-rules-java",417,"Fixing minimum reqs to pass skills reqs",KEEP,"Legitimate update to skill requirements, not obvious slop."
"posit-dev/skills",17,"feat(critical-code-reviewer): Offer next steps when closing",KEEP,"Legitimate feature update to a skill file."
"vladikk/modularity",1,"Improve skill tooling: allowed-tools, AskUserQuestion, task tracking",KEEP,"Title indicates meaningful updates to skill tooling and specific features."
"a5c-ai/babysitter",20,"fix: add breakpoint response validation for interactive mode",KEEP,"Legitimate feature or fix related to project functionality."
"boshu2/agentops",12,"fix: add standards dependency to validation skills",KEEP,"Specific fix adding a dependency, not an auto-generated or dummy PR."
"fcakyon/claude-codex-settings",107,"Expand CLAUDE.md with gh CLI reference, Python guidance, and citation rules",KEEP,"Substantive update adding specific rules and guidance to CLAUDE.md."
"boshu2/agentops",9,"fix(pr-research): add push access verification",KEEP,"Legitimate feature update to a skill file, not slop."
"24kchengYe/human-skill-tree",8,"Add music education skill",KEEP,"Legitimate addition of a specific skill, not slop or automated."
"xr843/Master-skill",9,"feat(compare): divergence radar + labeled differences + classic debate templates",KEEP,"Legitimate feature addition to a skill file, not slop."
"giuseppe-trisciuoglio/developer-kit",165,"fix(developer-kit-tools): removed store credentials",KEEP,"Specific fix removing credentials, not an auto-bot or dummy PR."
"posit-dev/skills",20,"Add pr-create skill for automated PR creation with CI monitoring",KEEP,"Legitimate addition of a specific new skill, not slop."
"giuseppe-trisciuoglio/developer-kit",164,"Feature/161 add adr drafting skill",KEEP,"Legitimate feature PR adding a new skill."
"arpitg1304/robotics-agent-skills",1,"feat: use c++ lambdas instead of std::bind",KEEP,"Specific technical coding guideline added to SKILL.md."
"marcusquinn/aidevops",21011,"t2883: add §7c untrusted-body content directive immunity to AGENTS.md",KEEP,"Specific, substantive update to agent instructions."
"bitwize-music-studio/claude-ai-music-skills",20,"docs: deduplicate CLAUDE.md, remove redundant sections",KEEP,"Valid maintenance task for agent instructions."
"bitwize-music-studio/claude-ai-music-skills",21,"docs: trim CLAUDE.md to under 40KB target",KEEP,"Specific, meaningful update to agent instructions, not slop."
"anombyte93/prd-taskmaster",2,"feat: use templates for PRD and CLAUDE.md generation",KEEP,"Legitimate feature PR updating SKILL.md to use templates."
"smnandre/symfony-ux-skills",6,"Fix design of ascii illustration",KEEP,"Not an obvious auto-bot or dummy PR; might contain valid instructions."
"bitwize-music-studio/claude-ai-music-skills",23,"fix: resolve 5 consistency issues in SKILL.md and CLAUDE.md",KEEP,"Legitimate fix to instruction files, not an automated or dummy PR."
"bitwize-music-studio/claude-ai-music-skills",19,"feat: verse-chorus echo check (phrase deduplication)",KEEP,"Legitimate feature addition to agent instructions, not slop."
"bitwize-music-studio/claude-ai-music-skills",18,"feat: no-invented-contractions rule for Suno",KEEP,"Specific rule addition, not an automated or dummy PR."
"jaechang-hits/SciAgent-Skills",9,"Enhance: Add read group extraction documentation to pysam skill",KEEP,"Legitimate update adding specific documentation to a skill file."
"bitwize-music-studio/claude-ai-music-skills",15,"feat: add Lessons Learned Protocol",KEEP,"Legitimate addition of a protocol to agent instructions."
"bitwize-music-studio/claude-ai-music-skills",14,"feat: add strict homograph handling rules for Suno",KEEP,"Specific feature addition, not an auto-generated or dummy PR."
"bitwize-music-studio/claude-ai-music-skills",12,"feat: add section length guardrails by genre",KEEP,"Specific feature addition to rule files, not slop."
"jaechang-hits/SciAgent-Skills",14,"docs: document GEO SuperSeries/SubSeries handling",KEEP,"Legitimate documentation update for a specific feature, not slop."
"ballred/obsidian-claude-pkm",8,"Add /search skill for keyword vault search",KEEP,"Legitimate addition of a specific new skill to the agent instructions."
"jjmartres/opencode",7,"feat(skill): add asdf skill",KEEP,"Legitimate feature addition for a new skill."
"himself65/finance-skills",27,"Fix description length for earnings-recap and estimate-analysis",DROP,"Metadata-only fix adjusting description length."
"oaustegard/claude-skills",565,"exploring-codebases v2.2.1: good/bad batching examples (salvaged from #559)",KEEP,"Adds substantive examples to the skill file."
"popmechanic/VibesOS",74,"docs(CLAUDE.md): document generate flow routing landmine",KEEP,"Specific project rule update, not an auto-bot or dummy PR."
"oaustegard/claude-skills",561,"exploring-codebases v2.2.0: step-0 setup, ref variants, sanity check, drill-optional",KEEP,"Title indicates specific feature additions to the skill file."
"oaustegard/claude-skills",523,"reasoning-semiformally: add model-tier guidance from CVE experiment",KEEP,"Legitimate update adding specific guidance based on an experiment."
"oaustegard/claude-skills",522,"Add reasoning-semiformally skill",KEEP,"Legitimate addition of a new skill file."
"oaustegard/claude-skills",469,"feat: K as image-type parameter + isolation filter + higher K default",KEEP,"Legitimate feature update to a skill file, not auto-generated or dummy."
"oaustegard/claude-skills",560,"exploring-codebases: TODO-style workflow (tarball-first, batched treesit)",KEEP,"Legitimate update adding specific workflow instructions to a skill file."
"oaustegard/claude-skills",468,"fix: boundary-aware contour extraction (v1.3.0)",KEEP,"Title describes a specific feature update, not obvious slop."
"oaustegard/claude-skills",467,"fix: boundary-aware contour extraction to eliminate woodcut artifacts",KEEP,"Specific technical fix, not slop or auto-generated."
"oaustegard/claude-skills",447,"Add coding-mojo skill",KEEP,"Legitimate addition of a new skill, not an automated or dummy PR."
"oaustegard/claude-skills",294,"Add Muninn boot + decision traces to CLAUDE.md",KEEP,"Specific, meaningful update to project instructions."
"oaustegard/claude-skills",201,"chore(remembering): Bump version to 3.2.1 and add version update reminder",DROP,"Pure version bump and metadata update."
"BANANASJIM/rdc-cli",1,"docs: add CLAUDE.md with development rules for coding agents",KEEP,"Standard descriptive title for adding agent instructions."
"JetBrains/teamcity-cli",95,"docs(skill): refine syntax guidelines and add terminology clarifications",KEEP,"Legitimate update to skill file adding syntax guidelines and terminology."
"JetBrains/teamcity-cli",235,"docs: add AGENTS.md with issue-filing guidelines",KEEP,"Legitimate addition of AGENTS.md with specific issue-filing guidelines."
"BANANASJIM/rdc-cli",213,"docs(skill): add remote / split / android / troubleshooting sections",KEEP,"Legitimate update adding specific sections to the skill file."
"matlab/skills",7,"Remove allowed-tools section from SKILL.md files",KEEP,"Specific, meaningful change to instruction files, not auto-generated or dummy."
"matlab/skills",8,"Enhance Live Script skill with tables support",KEEP,"Legitimate feature enhancement to a skill file, not slop."
"jrenaldi79/harness-engineering",17,"Add workflow gotchas and fix stale commands in CLAUDE.md",KEEP,"Legitimate update to CLAUDE.md adding workflow gotchas and fixing commands."
"Bria-AI/bria-skill",33,"Add bria-ai redirect for generative tasks in image-utils",KEEP,"Specific and meaningful update to a skill file."
"Bria-AI/bria-skill",26,"Fix API key exposure in bria-ai skill setup",KEEP,"Specific security fix, not an auto-generated or dummy PR."
"Bria-AI/bria-skill",12,"Add dependencies and clarify triggers in bria-ai skill description",KEEP,"Legitimate update to skill description, not slop."
"Bria-AI/bria-skill",30,"docs(bria-ai): link full API reference at docs.bria.ai/llms.txt",KEEP,"Legitimate update adding an API reference link to the skill file."
"Bria-AI/bria-skill",24,"Update image-utils to reference bria-ai skill",KEEP,"Legitimate update to a skill file, not an auto-bot or dummy PR."
"netresearch/agent-rules-skill",5,"fix: add exact name matching and command verification requirements",KEEP,"Legitimate update adding specific requirements to agent instructions."
"scoobynko/claude-code-design-skills",5,"Add component description validation to Figma to Code skill",KEEP,"Specific feature addition to a skill file, not slop."
"LGDiMaggio/predictive-maintenance-mcp",29,"feat(prognostics): expose ISO 13374 Block 5 as MCP tools + plugin skill",KEEP,"Legitimate feature PR adding a specific skill."
"cognyai/claude-code-marketing-skills",1,"Feature/solo tier launch",KEEP,"Legitimate feature launch title, not an auto-generated or dummy PR."
"sx4im/awesome-claude-md",4,"fix: expand 7 templates below 50-line minimum to pass validation",KEEP,"Legitimate fix to expand templates to meet validation requirements."
"oaustegard/claude-skills",457,"Add image-to-svg skill v1.0.0",KEEP,"Legitimate addition of a new skill."
"open-agreements/open-agreements",66,"Streamline Phase 4: save confirmation PDF as filing record",KEEP,"Specific feature update for a skill, not slop."
"ajhcs/healthcare-agents",15,"docs: streamline PR workflow",KEEP,"Legitimate update to agent instructions regarding PR workflows."
"JuliaGenAI/julia-agent-skills",2,"Small improvement to DV skill",KEEP,"Valid manual update to a specific skill file."
"sageox/ox",497,"feat(skills): add monitor-pr for driving PR reviews to green",KEEP,"Legitimate feature addition for a new skill."
"sageox/ox",492,"fix(claws): clarify openclaw ox install choice and block brew",KEEP,"Title indicates specific, meaningful updates to the instruction files."
"matlab/skills",2,"Delete Evaluation Command from SKILL.md",KEEP,"Legitimate update to SKILL.md removing an evaluation command."
"oaustegard/claude-skills",555,"Add session-memory skill (#516)",KEEP,"Legitimate addition of a new skill, not slop."
