repo,pr,title,verdict,reason
"TencentCloudBase/CloudBase-MCP",412,"feat(auth-web): ✨ wire SDK calls into form handlers",KEEP,"Title indicates a legitimate feature update, not slop."
"TencentCloudBase/CloudBase-MCP",547,"docs(agents): add attribution evaluation guardrails",KEEP,"Legitimate update adding specific guardrails to agent instructions."
"TencentCloudBase/CloudBase-MCP",292,"feat(docs): 📝 update miniprogram skill with Icons8 icon resource guide",KEEP,"Specific feature update, not an auto-bot or dummy PR."
"bgauryy/octocode-mcp",384,"update code engineer",KEEP,"Title is not obviously slop or automated."
"TencentCloudBase/CloudBase-MCP",404,"docs(skills): ⚠️ enforce MCP as prerequisite in CloudBase skill",KEEP,"Legitimate update to enforce a prerequisite in the skill file."
"bgauryy/octocode-mcp",386,"Revise labeling rules and update guidelines for findings",KEEP,"Legitimate update to labeling rules and guidelines."
"TencentCloudBase/CloudBase-MCP",283,"feat: add call ai skill",KEEP,"Legitimate feature addition of an AI skill."
"bgauryy/octocode-mcp",298,"remove agents from skill",KEEP,"Legitimate change to agent instructions, not obvious slop."
"TencentCloudBase/CloudBase-MCP",285,"fix: node sdk version; gen image only in node sdk",KEEP,"Title indicates specific rule changes regarding node sdk and image generation."
"BlazeUp-AI/Observal",505,"docs: update AGENTS.md files to reflect current codebase",KEEP,"Valid documentation update reflecting current codebase, not obvious slop."
"rorkai/app-store-connect-cli-skills",10,"docs(skills): align TestFlight + PKG upload commands",KEEP,"Title indicates a meaningful update to specific commands, not slop."
"rorkai/app-store-connect-cli-skills",31,"Add asc-screenshot-resize skill",KEEP,"Legitimate addition of a new skill."
"Ar9av/obsidian-wiki",14,"Add visibility/ tag system for content reach control",KEEP,"Title describes a specific feature addition, not slop or automated."
"Ar9av/obsidian-wiki",4,"Fix tag formatting in SKILL.md",DROP,"Minor formatting fix, not a substantive rule change."
"coreyhaines31/marketingskills",213,"feat: add expert panel scoring to copy-editing",KEEP,"Legitimate feature addition to a skill file."
"23blocks-OS/ai-maestro",86,"docs: Add prominent pre-PR checklist to enforce version bumps",KEEP,"Legitimate update to agent instructions enforcing a specific rule."
"Ar9av/obsidian-wiki",3,"Summary parser safe punctuation",KEEP,"Title suggests a specific, meaningful update to agent instructions."
"Ar9av/obsidian-wiki",8,"fix: harden wiki-ingest against prompt injection and command execution",KEEP,"Specific security fix, not an auto-generated or dummy PR."
"23blocks-OS/ai-maestro",71,"docs: Update agent-messaging skill with smart lookup & fuzzy matching",KEEP,"Specific feature update to skill file, not slop or auto-generated."
"Agent-Field/SWE-AF",9,"add skill",KEEP,"Title is brief but not obviously an automated bot or test PR."
"awslabs/agent-plugins",10,"fix(skills): use single-line quoted YAML for skill description",KEEP,"Legitimate formatting fix for a skill description, not slop."
"peters/horizon",24,"docs: correct architecture docs to match alacritty_terminal PTY stack",KEEP,"Specific, meaningful update to agent instructions regarding architecture."
"saffron-health/libretto",199,"docs: add CLAUDE.md with release process docs",KEEP,"Legitimate addition of release process documentation to CLAUDE.md."
"agentscope-ai/OpenJudge",140,"Feat/bib verify skill",KEEP,"Legitimate feature addition for a specific skill."
"agentscope-ai/OpenJudge",167,"feat(skills): add MiniMax-AI/cli as default skill tap",KEEP,"Legitimate feature addition, not an auto-generated or dummy PR."
"saffron-health/libretto",129,"docs: improve Libretto skill debugging and pause documentation",KEEP,"Title indicates meaningful documentation updates for debugging and pause features."
"saffron-health/libretto",105,"Clarify Libretto script authoring flow",KEEP,"Title indicates a legitimate update to clarify a specific authoring flow."
"saffron-health/libretto",59,"fix: check action log before asking about user interactions",KEEP,"Legitimate skill update adding specific instructions for agent behavior."
"BlazeUp-AI/Observal",507,"docs: document enterprise frontend architecture decisions",KEEP,"Legitimate documentation of architecture decisions in agent instruction files."
"databricks-solutions/ai-dev-kit",317,"fix: add trigger phrases to skill descriptions per Anthropic's official guide",KEEP,"Meaningful update to skill descriptions based on official guidelines."
"saffron-health/libretto",45,"Update push skill CI gating for missing checks",KEEP,"Legitimate update to skill file regarding CI gating."
"saffron-health/libretto",39,"Add fix-merge-conflicts skill",KEEP,"Legitimate addition of a new skill, not slop."
"saffron-health/libretto",49,"chore: add libretto skill metadata for discovery",DROP,"Adding metadata for discovery is a metadata-only change."
"saffron-health/libretto",36,"docs: enforce CI/review gating in push skill",KEEP,"Legitimate update to agent instructions regarding CI/review gating."
"saffron-health/libretto",41,"Rename libretto skill",KEEP,"Legitimate skill rename, not an auto-bot or dummy PR."
"cyhhao/vibe-remote",88,"docs(skills): refresh Vibe Remote routing guidance",KEEP,"Legitimate update to skill guidance, not an automated or dummy PR."
"saffron-health/libretto",31,"docs(skill): update libretto session mode guidance",KEEP,"Legitimate update to skill guidance, not an auto-generated or dummy PR."
"cyhhao/vibe-remote",85,"fix(skills): clarify Vibe Remote DM auth guidance",KEEP,"Legitimate clarification of authentication guidance in a skill file."
"gotalab/skillport",72,"chore(skills): add worktree support to git-branch-cleanup skill",KEEP,"Specific feature addition to a skill file, not slop."
"matank001/cursor-security-rules",4,"added 'private keys' to the list of secrets",KEEP,"Legitimate update to security rules adding specific content."
"matank001/cursor-security-rules",2,"removed duplicated rule for mcp-usage",KEEP,"Specific, meaningful change to an agent instruction file."
"matank001/cursor-security-rules",1,"New Rule - Dangerous Flows",KEEP,"Legitimate addition of a new rule file, not slop."
"huytieu/COG-second-brain",6,"Fix hallucinated timestamps in content-generating skills",KEEP,"Legitimate fix for a specific issue in agent instructions."
"Affitor/affiliate-skills",8,"docs: update CLAUDE.md with 8 stages + CLI reference",KEEP,"Legitimate update adding specific project rules and CLI reference."
"ECNU-ICALK/AutoSkill",3,"improve changelog-generator skill structure + eval score",KEEP,"Title indicates meaningful structural improvements to a specific skill."
"huytieu/COG-second-brain",14,"Add /scout skill for URL/tool triage before saving",KEEP,"Legitimate feature addition adding a specific skill for triage."
"huytieu/COG-second-brain",15,"Add story deduplication to daily brief skill",KEEP,"Specific feature addition to a skill, not slop."
"astronomer/agents",180,"Update managing-astro-local-env skill for Astro CLI v1.40",KEEP,"Specific update to skill instructions for a new tool version."
"astronomer/agents",122,"Fix `cosmos-dbt-core/SKILL.md`",KEEP,"Legitimate fix to a SKILL.md file, not obvious slop."
"astronomer/agents",179,"Update blueprint skill for v0.2.0",DROP,"Pure version bump update for a skill."
"astronomer/agents",108,"Use `af` cli in skills",KEEP,"Legitimate update to skill instructions to use a specific CLI tool."
"astronomer/agents",150,"Add blueprint skill for template-based DAG authoring",KEEP,"Legitimate addition of a specific new skill, not slop."
"astronomer/agents",95,"Skill: Airflow HITL",KEEP,"Legitimate addition of a specific skill, not slop."
"astronomer/agents",75,"feat(skills): Update testing-dags to use af CLI",KEEP,"Specific feature update to a skill file, not slop."
"astronomer/agents",147,"Fix airflow-adapter skill frontmatter",KEEP,"Legitimate fix to skill frontmatter, not an auto-generated or dummy PR."
"astronomer/agents",56,"Fix skill hook paths to resolve to correct directories",KEEP,"Legitimate fix to skill hook paths, not auto-generated or dummy."
"astronomer/agents",14,"refactor: rename skills for clarity",KEEP,"Legitimate refactoring of skill names, not an auto-generated or dummy PR."
"astronomer/agents",18,"feat: add Astro CLI local development skills",KEEP,"Legitimate feature addition of specific skills, not slop."
"mm7894215/TokenTracker",8,"docs: refresh CLAUDE.md to match current codebase state",KEEP,"Legitimate update to reflect current codebase state."
"kazukinagata/shinkoku",5,"docs: require AskUserQuestion pause at QR code auth step",KEEP,"Specific instruction update for agent behavior, not slop."
"FrankChen021/datastoria",101,"Enforce PR file-list confirmation rule in AGENTS",KEEP,"Specific rule addition, not an auto-generated or dummy PR."
"Mng-dev-ai/agentrove",553,"docs: Expand CLAUDE.md with cross-context and cache guidelines",KEEP,"Legitimate update adding specific guidelines to CLAUDE.md."
"Mng-dev-ai/agentrove",480,"new-fe-rules",KEEP,"Title suggests a legitimate update to frontend rules."
"Mng-dev-ai/agentrove",545,"Compress CLAUDE.md and reorder sections by priority",KEEP,"Meaningful restructuring and compression of agent instructions."
"vargHQ/sdk",110,"docs: add cache policy rule for AI assistants",KEEP,"Legitimate addition of a specific rule to the agent instruction file."
"Ar9av/obsidian-wiki",18,"feat: security, visibility consistency, and diacritic matching",KEEP,"Title describes specific features and is not obvious slop."
"przeprogramowani/ai-rules-builder",8,"Create copilot-instructions.md",KEEP,"Legitimate addition of a rule file, not obvious slop."
"axeldelafosse/loop",27,"Update AGENTS.md with test command and repo workflows",KEEP,"Meaningful update adding specific test commands and workflows to agent instructions."
"axeldelafosse/loop",49,"Update AGENTS.md for current loop workflows",KEEP,"Legitimate update to agent instructions for project workflows."
"Team-Commonly/commonly",10,"Add AGENTS instructions",KEEP,"Standard PR adding agent instructions, no obvious drop signals."
"FrankChen021/datastoria",135,"improve clickhouse-system-queries skill structure",KEEP,"Legitimate improvement to a skill file structure."
"jdrhyne/agent-skills",18,"skills: align elegant-reports skill contract with scanner",KEEP,"Legitimate update to a skill contract, not an auto-bot title."
"pwrdrvr/openclaw-codex-app-server",23,"Plugin: add project manager skill gotchas",KEEP,"Legitimate update adding specific gotchas to a skill file."
"jdrhyne/agent-skills",16,"docs(skills): Wave A security/privacy guardrails",KEEP,"Title indicates meaningful security/privacy guardrail updates to agent instructions."
"jdrhyne/agent-skills",14,"fix: normalize nutrient-openclaw ClawHub metadata",DROP,"Title explicitly indicates a metadata-only normalization change."
"CreminiAI/skillpack",8,"feat: improve skill scores for skillpack",KEEP,"Legitimate feature improvement title, not obvious slop."
"saltbo/agent-kanban",60,"docs: update agent-kanban skill for kubectl-style CLI",KEEP,"Specific update to agent instructions, not an auto-bot or dummy PR."
"shinpr/ai-coding-project-boilerplate",7,"fix: remove subagent references from CLAUDE.md to prevent recursion",KEEP,"Specific, meaningful change to agent instructions."
"microsoft/GitHub-Copilot-for-Azure",1863,"Update storage account name in analyze-skill-issues skill",KEEP,"Specific update to a skill file, not slop."
"jdrhyne/agent-skills",8,"improve remotion-best-practices skill description and quick start",KEEP,"Legitimate update to skill description and quick start."
"microsoft/GitHub-Copilot-for-Azure",1910,"Add skills",KEEP,"Adds actual skills, not obviously a bot or dummy PR."
"iamtouchskyer/memex",18,"feat: add best practices skill for Zettelkasten card quality",KEEP,"Legitimate feature addition for a specific skill, not slop."
"microsoft/GitHub-Copilot-for-Azure",1760,"Strengthen Plan-first enforcement in azure-prepare to prevent deployment pipeline failures",KEEP,"Meaningful update to enforce a specific rule in the skill file."
"garagon/nanostack",81,"Autopilot: remove all pause points for uninterrupted sprints",KEEP,"Legitimate update to agent instructions regarding pause points."
"shinpr/ai-coding-project-boilerplate",9,"feat: enhance document-fixer for maximized AI execution precision",KEEP,"Legitimate feature update to an agent instruction file."
"garagon/nanostack",82,"Reduce SKILL.md tokens by 14% (-2,203 tokens per sprint)",KEEP,"Legitimate optimization of agent instruction files, not slop."
"matank001/cursor-security-rules",7,"Add C#/.NET Rules",KEEP,"Legitimate addition of C#/.NET rules, not slop."
"garagon/nanostack",69,"Use absolute paths for bin/ scripts — confirmed working",KEEP,"Legitimate update to agent instructions regarding script execution paths."
"garagon/nanostack",85,"Add local mode for non-git users",KEEP,"Legitimate feature addition for local mode, not an automated or dummy PR."
"garagon/nanostack",67,"Revert to relative bin/ paths that worked in production",KEEP,"Legitimate update to instructions regarding paths."
"garagon/nanostack",68,"Simplify autopilot to sequential flow",KEEP,"Title indicates a meaningful architectural change to agent instructions."
"garagon/nanostack",64,"Add context checkpoints, iteration prompt, and parallel autopilot",KEEP,"Title describes specific, meaningful features added to agent instructions."
"garagon/nanostack",80,"Move compound before sprint summary for clean closure",KEEP,"Specific structural change to the instruction file, not obvious slop."
"garagon/nanostack",24,"Wire cross-skill artifact reading for flow optimization",KEEP,"Title indicates a meaningful feature update to skill interactions."
"przeprogramowani/ai-rules-builder",9,"chore: create .cursorrules",KEEP,"Standard creation of a rule file, not obvious slop."
"garagon/nanostack",21,"Apply learnings from real-world testing to /think and /ship",KEEP,"Title suggests meaningful updates to agent instructions based on real-world testing."
"garagon/nanostack",57,"Add Native QA mode with computer use support",KEEP,"Legitimate feature addition with specific details, not slop."
"Doist/todoist-cli",244,"docs: add agent-friendly design principles to add-command skill",KEEP,"Legitimate update adding design principles to a skill file."
"team-telnyx/ai",108,"Add handwritten AI outbound voice Python skill",KEEP,"Legitimate addition of a new skill file."
"team-telnyx/ai",23,"Update migration skill description to mention Call Control",KEEP,"Legitimate update to skill description adding specific context."
"garagon/nanostack",13,"Add Next Step to every skill for sprint chaining",KEEP,"Legitimate update adding a specific feature to agent instructions."
"garagon/nanostack",27,"Fix 2 skills.sh security alerts",KEEP,"Specific task fixing security alerts, not obvious slop."
"garagon/nanostack",63,"Fix bin/ paths to absolute skill root in all SKILL.md",KEEP,"Legitimate fix to paths in SKILL.md, not slop."
"wiz-sec-public/SITF",2,"Adding Claude Skills to automate attack flow creation and PRs for new techniques",KEEP,"Legitimate addition of specific skills for attack flow creation."
"kevmoo/dash_skills",15,"tweaks to dart-test-fundamentals",KEEP,"Human-written title indicating updates to a skill file."
"wiz-sec-public/SITF",5,"Skill update to stick to the SDLC infra scope",KEEP,"Legitimate update to refine the scope of a skill file."
"kevmoo/dash_skills",9,"Update link to dart-best-practices in SKILL.md to be a url instead of…",DROP,"Minor metadata update (fixing a link) rather than substantive rule change."
"kevmoo/dash_skills",4,"dart-package-maintenance: add some notes on versioning and changelogs",KEEP,"Legitimate update adding specific notes to a skill file."
"adaptyvbio/protein-design-skills",3,"Revise Foldseek skill",KEEP,"Valid title indicating a specific skill revision."
"wiz-sec-public/SITF",11,"Upddateing the technique-proposal skill with frameworks integration d…",KEEP,"Title indicates a meaningful update to the skill with frameworks integration."
"NarratorAI-Studio/narrator-ai-cli-skill",22,"Feat/skill doc improvements",KEEP,"Standard PR title for documentation improvements, no drop signals."
"garagon/nanostack",19,"Add Visual QA for UI/UX quality verification",KEEP,"Legitimate addition of a visual QA skill, not slop."
"NarratorAI-Studio/narrator-ai-cli-skill",4,"feat(skill): add file transfer command to SKILL.md and update descrip…",KEEP,"Legitimate feature addition to SKILL.md, not an automated or dummy PR."
"garagon/nanostack",8,"Calibrate /think intensity by mode",KEEP,"Specific feature update, not an auto-bot or dummy PR."
"garagon/nanostack",65,"Use explicit paths in all SKILL.md and simplify script resolution",KEEP,"Legitimate update to SKILL.md files, not an auto-generated bot PR."
"fluxcd/agent-skills",6,"Add internal skill for making a patch release of the Flux controllers",KEEP,"Legitimate addition of a specific skill file for Flux controllers."
"fluxcd/agent-skills",19,"Update flux-controller-patch-releases skill",KEEP,"Legitimate update to a specific skill file."
"besoeasy/open-skills",14,"Add presenton skill",KEEP,"Legitimate addition of a new skill, not an automated or dummy PR."
"NarratorAI-Studio/narrator-ai-cli-skill",17,"Fix/update md 2026 04 09",DROP,"Generic title with a date, likely auto-generated or low-effort."
"besoeasy/open-skills",8,"Add phone-specs-scraper skill",KEEP,"Legitimate addition of a new skill."
"besoeasy/open-skills",9,"Add ip-lookup skill",KEEP,"Legitimate addition of a new skill, not an auto-generated or dummy PR."
"besoeasy/open-skills",6,"Add city-tourism-website-builder skill",KEEP,"Legitimate addition of a new skill."
"besoeasy/open-skills",5,"Add random-contributor skill",KEEP,"Legitimate addition of a new skill, not an automated or dummy PR."
"besoeasy/open-skills",4,"Recommend generate-report for crypto reports",KEEP,"Title indicates specific rule additions for crypto reports."
"besoeasy/open-skills",2,"Add file-tracker skill",KEEP,"Legitimate addition of a new skill and its instruction file."
"avivsinai/bitbucket-cli",91,"chore(skill): bump SKILL.md to 1.0.20",DROP,"Pure version bump PR, not a meaningful rule change."
"imbue-ai/latchkey",39,"Add a separate SKILL.md for openclaw.",KEEP,"Legitimate addition of a skill file for a specific integration."
"imbue-ai/latchkey",38,"Add Openclaw support.",KEEP,"Legitimate feature addition for a specific integration."
"kevmoo/dash_skills",7,"linking",KEEP,"Title is vague but not obviously an auto-bot or dummy PR."
"kevmoo/dash_skills",10,"Enhance SKILL.md with Windows support guidelines",KEEP,"Specific and meaningful update adding Windows support guidelines."
"avivsinai/bitbucket-cli",74,"chore(skill): bump SKILL.md to 1.0.16",DROP,"Pure version-bump PR title."
"avivsinai/bitbucket-cli",72,"chore(skill): bump SKILL.md to 1.0.15",DROP,"Pure version-bump PR title."
"avivsinai/bitbucket-cli",85,"chore(skill): bump SKILL.md to 1.0.17",DROP,"Pure version-bump PR title."
"avivsinai/bitbucket-cli",66,"chore(skill): bump SKILL.md to 1.0.14",DROP,"Pure version bump PR title."
"avivsinai/bitbucket-cli",61,"chore(skill): bump SKILL.md to 1.0.12",DROP,"Pure version bump PR title."
"avivsinai/bitbucket-cli",56,"chore(skill): bump SKILL.md to 1.0.10",DROP,"Pure version bump for SKILL.md files."
"besoeasy/open-skills",7,"Add bulk-github-star skill",KEEP,"Legitimate addition of a new skill."
"avivsinai/bitbucket-cli",47,"chore(skill): bump SKILL.md to 1.0.9",DROP,"Pure version bump PR title."
"besoeasy/open-skills",12,"Add using-scrapy skill",KEEP,"Legitimate addition of a specific skill file for Scrapy."
"qdrant/skills",19,"Reorg scaling skills",KEEP,"Legitimate reorganization of skill files, not an auto-bot or dummy PR."
"avivsinai/bitbucket-cli",63,"chore(skill): bump SKILL.md to 1.0.13",DROP,"Pure version-bump title."
"qdrant/skills",18,"rewrite deployment options as situation-driven skill",KEEP,"Legitimate update to a skill file, not auto-generated or dummy."
"qdrant/skills",20,"revert memory usage and version upgrade skills",KEEP,"Revert PRs are not explicitly listed as drop signals."
"qdrant/skills",17,"Refine Qdrant search strategies documentation",KEEP,"Legitimate update to skill documentation, not an automated or dummy PR."
"qdrant/skills",12,"trim docs-recreation from monitoring setup skill",KEEP,"Legitimate update to a skill file, not slop."
"qdrant/skills",13,"rewrite version upgrade skill",KEEP,"Legitimate rewrite of a skill file, not automated or dummy."
"qdrant/skills",16,"fix search strategy section titles to be problem-oriented",KEEP,"Legitimate update to skill file structure."
"qdrant/skills",10,"model migration skill",KEEP,"Legitimate skill addition, not an automated or dummy PR."
"qdrant/skills",8,"scaling skill",KEEP,"Title is not obviously slop or auto-generated."
"qdrant/skills",7,"search quality skill",KEEP,"Legitimate addition of a new skill, not an automated or dummy PR."
"qdrant/skills",15,"rewrite memory usage optimization skill",KEEP,"Meaningful rewrite of a specific skill file, not an automated or dummy PR."
"qdrant/skills",9,"monitoring skill",KEEP,"Legitimate addition of a new monitoring skill."
"qdrant/skills",5,"Add Performance optimization skills",KEEP,"Legitimate addition of performance optimization skills, not auto-generated slop."
"avivsinai/bitbucket-cli",89,"chore(skill): bump SKILL.md to 1.0.18",DROP,"Pure version bump for SKILL.md files."
"microsoft/Dataverse-skills",10,"feat(init): add Environment Discovery flow for smarter env selection/creation",KEEP,"Legitimate feature addition to a skill file, not slop."
"qdrant/skills",6,"version upgrade skill",KEEP,"Title suggests adding a specific skill, not a metadata version bump."
"microsoft/Dataverse-skills",18,"fix: add pip install --upgrade step to init skill",KEEP,"Specific fix adding a pip install step, not slop."
"microsoft/Dataverse-skills",16,"Updated the skills to remind users to resume the Claude Code sessions and eliminate the extra confirmation",KEEP,"Legitimate update to agent interaction instructions, not slop."
"qdrant/skills",4,"snippet lookup skill",KEEP,"Legitimate skill addition, not an automated or dummy PR."
"microsoft/Dataverse-skills",15,"Improve init UX, auth prompts, and MCP client whitelisting for non-developer users",KEEP,"Legitimate feature improvement PR, not an auto-generated or dummy PR."
"microsoft/Dataverse-skills",5,"Improving the wording in the init skill to ensure the environment URL is confirmed and no steps are skipped",KEEP,"Specific, meaningful update to skill instructions."
"microsoft/Dataverse-skills",7,"Improve metadata, overview and python-sdk skills based on support agent scenario evaluation",KEEP,"Substantive update based on evaluation, not auto-generated or dummy."
"microsoft/Dataverse-skills",12,"fix: detect missing MCP tools and route to mcp-configure instead of silent SDK fallback",KEEP,"Specific, meaningful fix related to MCP tools and routing."
"talkstream/ru-text",6,"Add root SKILL.md for directory compatibility",KEEP,"Legitimate addition of a skill file, not obvious slop."
"samber/cc-skills",12,"feat(conventional-git): add worktree naming conventions",KEEP,"Legitimate feature addition to a skill file."
"hookdeck/webhook-skills",20,"docs: update AGENTS.md with detailed review process for provider skills",KEEP,"Meaningful update adding specific review process instructions."
"apollographql/skills",38,"Remove curl from allowed tools",KEEP,"Specific, meaningful change to agent instructions regarding allowed tools."
"microsoft/Dataverse-skills",28,"fix: rename skills to dv-* prefix for scannability",KEEP,"Legitimate structural change renaming skills for scannability, not slop."
"netresearch/jira-skill",58,"fix(skill): use ${CLAUDE_SKILL_DIR} for script paths",KEEP,"Legitimate fix updating script paths to use an environment variable."
"monte-carlo-data/mc-agent-toolkit",54,"feat(automated-triage): add interactive triage mode and action guard (AI-192)",KEEP,"Legitimate feature addition to a skill file."
"avivsinai/agent-message-queue",32,"fix: deduplicate Environment Rules in SKILL.md",KEEP,"Legitimate fix to deduplicate rules, not an auto-bot or dummy PR."
"avivsinai/agent-message-queue",33,"fix: correct AM_ROOT guidance in skill docs",KEEP,"Specific fix to agent guidance, not an auto-bot or dummy PR."
"netresearch/jira-skill",17,"fix: align SKILL.md description with quality standard",KEEP,"Legitimate update to align skill descriptions with quality standards."
"zxkane/openhands-infra",33,"docs(skill): add git worktree guidance to github-workflow skill",KEEP,"Legitimate update adding specific guidance to a skill file."
"apollographql/skills",46,"fix: split multi-op example into one-op-per-file",KEEP,"Legitimate update to skill instructions, not an auto-bot or dummy PR."
"apollographql/skills",36,"feat(apollo-router): make handoff and quick start skill-first",KEEP,"Legitimate feature update to skill instructions."
"zxkane/openhands-infra",12,"docs(workflow): enhance github-workflow skill with 10-step development process",KEEP,"Legitimate update adding a specific 10-step development process to instructions."
"besoeasy/open-skills",10,"Add song-website skill",KEEP,"Legitimate addition of a new skill, not automated or dummy."
